title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Congratulations,Post Malone,dfw rap,2016,2021‑01‑28,123,0.804,0.63,-4.183,0.253,0.492,220293,0.215,0.0364,85,2017,Solo
I Fall Apart,Post Malone,dfw rap,2016,2021‑01‑28,144,0.538,0.556,-5.408,0.196,0.291,223347,0.0689,0.0382,83,2017,Solo
Swang,Rae Sremmurd,hip hop,2016,2021‑01‑28,140,0.314,0.681,-9.319,0.1,0.166,208120,0.2,0.0581,80,2017,Duo
Black Beatles,Rae Sremmurd,hip hop,2016,2021‑01‑28,146,0.127,0.686,-14.361,0.0573,0.372,138387,0.754,0.0342,80,2017,Duo
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2021‑01‑28,108,0.427,0.886,-10.028,0.0906,0.23,177184,0.0312,0.145,81,2017,Solo
Broccoli,Shelley FKA DRAM,alternative r&b,2016,2021‑01‑28,146,0.525,0.886,-7.39,0.057,0.708,225205,0.236,0.132,64,2017,Solo
I Feel It Coming,The Weeknd,canadian contemporary r&b,2016,2021‑01‑28,93,0.819,0.773,-5.946,0.0679,0.585,269187,0.428,0.118,82,2017,Solo
goosebumps,Travis Scott,hip hop,2016,2021‑01‑28,130,0.728,0.841,-3.37,0.149,0.43,243837,0.0847,0.0484,88,2017,Solo
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,2016,2021‑01‑28,161,0.887,0.807,-3.892,0.391,0.78,144244,0.00381,0.275,62,2017,Solo
When We Were Young,Adele,british soul,2015,2020‑06‑08,144,0.988,0.467,-3.313,0.28,0.321,220427,0.000152,0.112,79,2016,Solo
Send My Love (To Your New Lover),Adele,british soul,2015,2020‑06‑08,164,0.533,0.688,-8.363,0.172,0.567,223079,0.0355,0.0865,77,2016,Solo
Hello,Adele,british soul,2015,2020‑06‑08,79,0.43,0.578,-6.134,0.0854,0.288,295502,0.33,0.0305,77,2016,Solo
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑08,120,0.54,0.557,-10.484,0.179,0.394,185733,0.0339,0.0347,71,2016,Solo
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑08‑11,97,0.534,0.615,-6.719,0.0607,0.193,236413,0.106,0.0386,83,2016,Solo
Exchange,Bryson Tiller,kentucky hip hop,2015,2020‑06‑08,160,0.433,0.525,-10.598,0.135,0.276,194613,0.107,0.185,81,2016,Solo
Back To Sleep,Chris Brown,dance pop,2015,2020‑06‑08,93,0.646,0.647,-5.483,0.0888,0.721,201253,0.0424,0.243,65,2016,Solo
Hymn for the Weekend,Coldplay,permanent wave,2015,2020‑06‑08,90,0.693,0.491,-6.487,0.325,0.412,258267,0.211,0.0377,86,2016,Band/Group
Adventure of a Lifetime,Coldplay,permanent wave,2015,2020‑06‑08,112,0.924,0.638,-3.887,0.149,0.53,263787,0.00205,0.036,79,2016,Band/Group
My House,Flo Rida,dance pop,2015,2020‑06‑08,94,0.702,0.688,-4.792,0.128,0.74,192191,0.0215,0.0499,81,2016,Solo
"Me, Myself & I",G-Eazy,indie pop rap,2015,2020‑06‑08,112,0.674,0.756,-6.518,0.158,0.389,251467,0.0184,0.0959,82,2016,Solo
Love Yourself,Justin Bieber,canadian pop,2015,2020‑06‑08,100,0.378,0.609,-9.828,0.28,0.515,233720,0.835,0.438,87,2016,Solo
Sorry,Justin Bieber,canadian pop,2015,2020‑06‑08,100,0.675,0.819,-4.281,0.289,0.602,207747,0.0318,0.0727,85,2016,Solo
Stay (feat. Maty Noyes),Kygo,edm,2015,2020‑06‑08,103,0.736,0.648,-7.948,0.171,0.378,239465,0.0444,0.0385,65,2016,Solo
History,One Direction,boy band,2015,2020‑06‑08,87,0.373,0.438,-9.769,0.123,0.274,97050,0.803,0.0291,77,2016,Band/Group
Lost Boy,Ruth B.,alt z,2015,2020‑06‑08,124,0.128,0.586,-9.297,0.0858,0.371,276067,0.963,0.0496,77,2016,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020‑06‑08,98,0.593,0.672,-4.01,0.214,0.438,229080,0.0223,0.0304,70,2016,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020‑06‑08,111,0.507,0.811,-7.161,0.342,0.438,200680,0.0146,0.117,68,2016,Solo
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2015,2020‑06‑08,114,0.761,0.687,-4.582,0.147,0.743,223853,0.102,0.0876,77,2016,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020‑06‑08,95,0.521,0.681,-5.849,0.108,0.181,229747,0.12,0.141,77,2016,Duo
Roses,The Chainsmokers,dance pop,2015,2020‑06‑08,100,0.721,0.785,-5.457,0.285,0.894,176219,0.0149,0.0506,78,2016,Duo
Renegades,X Ambassadors,modern alternative rock,2015,2021‑05‑06,90,0.862,0.526,-6.003,0.229,0.528,195200,0.0144,0.0905,80,2016,Band/Group
Unsteady,X Ambassadors,modern alternative rock,2015,2020‑06‑08,117,0.665,0.389,-6.169,0.116,0.199,193547,0.178,0.0644,78,2016,Band/Group
